channelTitle,title,publishedAt,videoId,duration,viewCount,commentCount,likeCount,dislikeCount
LastWeekTonight,Brexit: Last Week Tonight with John Oliver (HBO),2016-06-20T06:30:00Z,iAgKHSNqxa8,PT15M39S,16925971,34638,174449,30896
LastWeekTonight,Alex Jones: Last Week Tonight with John Oliver (HBO),2017-07-31T06:30:01Z,WyGq6cjcc3Q,PT22M22S,17142598,31921,226802,38581
LastWeekTonight,Democratic National Convention: Last Week Tonight with John Oliver (HBO),2016-08-01T06:30:01Z,BUCnjlTfXDw,PT18M10S,10168089,18821,90527,14583
LastWeekTonight,Modi: Last Week Tonight with John Oliver (HBO),2020-02-24T07:30:01Z,qVIXUhZ2AWs,PT18M48S,10351457,74360,338928,62385
LastWeekTonight,Jeff Goldblum Outtakes: Last Week Tonight with John Oliver (HBO),2014-10-06T06:30:02Z,ResvfWhi3k8,PT56S,980976,176,6101,155
LastWeekTonight,Venezuela: Last Week Tonight with John Oliver (HBO),2018-05-14T06:30:01Z,IYfgvS0FA7U,PT19M33S,8508997,20412,108606,15236
LastWeekTonight,Brett Kavanaugh: Last Week Tonight with John Oliver (HBO),2018-10-01T06:30:01Z,opi8X9hQ7q8,PT29M12S,12175478,36642,183920,31509
LastWeekTonight,"Real Animals, Fake Paws Footage: Last Week Tonight with John Oliver (HBO)",2014-10-20T03:26:09Z,tug71xZL7yc,PT10M40S,1938798,964,15900,811
LastWeekTonight,Migrants and Refugees: Last Week Tonight with John Oliver (HBO),2015-09-28T12:20:32Z,umqvYhb3wf4,PT17M56S,11265587,26600,123983,32316
LastWeekTonight,Last Week Tonight with John Oliver: President Obama Meets a Robot Web Exclusive (HBO),2014-04-28T01:36:54Z,WHCQndalv94,PT38S,1217689,107,5896,72
LastWeekTonight,Uganda and Pepe Julian Onziema Pt. 1: Last Week Tonight with John Oliver (HBO),2014-06-30T06:30:01Z,G2W41pvvZs0,PT17M34S,8106378,7830,63746,7478
LastWeekTonight,Narendra Modi In New York: Last Week Tonight with John Oliver (HBO),2014-09-29T06:30:00Z,hkYzuHMcP64,PT2M18S,4198541,4263,30409,9770
LastWeekTonight,GOP - Hashtag Awesomesauce: Last Week Tonight with John Oliver (HBO),2014-03-21T01:24:00Z,gdQCtWlhx90,PT37S,743871,138,4135,197
LastWeekTonight,President-Elect Trump: Last Week Tonight with John Oliver (HBO),2016-11-14T04:30:01Z,-rSDUsMwakI,PT29M1S,17967381,42935,223627,52031
LastWeekTonight,Third Parties: Last Week Tonight with John Oliver (HBO),2016-10-17T06:30:00Z,k3O01EfM5fU,PT18M39S,12405172,24696,120101,23636
LastWeekTonight,Online Harassment: Last Week Tonight with John Oliver (HBO),2015-06-22T06:30:00Z,PuNIwYsz7PI,PT16M50S,11997111,32709,130204,40579
LastWeekTonight,Critics Quote: Last Week Tonight with John Oliver (HBO),2014-05-06T14:24:39Z,6GLuuqrNqxQ,PT36S,305628,25,2480,26
LastWeekTonight,Wage Gap: Last Week Tonight with John Oliver (HBO),2014-08-25T19:06:03Z,PsB1e-1BB4Y,PT7M18S,4432845,11691,44684,17739
LastWeekTonight,Season 2: Digital Promo: Last Week Tonight with John Oliver (HBO),2015-02-04T21:22:50Z,2bbskco60g4,PT35S,377740,250,5423,82
LastWeekTonight,Activists and Corporations: Last Week Tonight with John Oliver (HBO),2014-06-02T01:23:12Z,fDTX_mwj0_8,PT43S,487420,62,3270,36
LastWeekTonight,The Buzz: Last Week Tonight with John Oliver: Red Carpet Event (HBO),2014-04-28T18:30:16Z,yCY6vYGEN3Q,PT46S,189829,23,1145,29
LastWeekTonight,Brazilian Elections: Last Week Tonight with John Oliver (HBO),2018-10-08T06:30:00Z,FsZ3p9gOkpY,PT16M14S,5389825,52743,122674,133714
LastWeekTonight,Episode Preview: Last Week Tonight with John Oliver (HBO),2014-04-28T18:25:58Z,9vxT1uAhFxA,PT21S,158578,22,1223,21
LastWeekTonight,Finale Preview: Last Week Tonight with John Oliver (HBO),2014-11-03T17:31:03Z,x3Md3O_XfoI,PT56S,660596,422,5170,83
LastWeekTonight,Dancing Zebra Footage: Last Week Tonight with John Oliver (HBO),2017-03-20T03:20:32Z,-Z668Qc0P4Q,PT23M33S,2648952,3805,28591,8057
LastWeekTonight,Sports Illustrated Swimsuit Issue - How Is This Still a Thing?: Last Week Tonight with John Oliver,2015-02-16T07:30:00Z,l8QNDRbjong,PT3M9S,4499727,2346,37780,1927
LastWeekTonight,Sex Education: Last Week Tonight with John Oliver (HBO),2015-08-10T06:30:00Z,L0jQz6jqQS0,PT21M5S,20787846,22921,256540,7873
