wiki_join_field,index_wiki,season,episode,main_segment_title_wiki,air_date,viewers,episode_overall,index_yt,channelTitle,title,publishedAt,videoId,duration,viewCount,commentCount,likeCount,dislikeCount,published_dow,main_segment_title_yt,duration_in_seconds,duration_time
2019-08-12,168,6,20,Gurbanguly Berdimuhamedow and Guinness World Records,2019-08-11,850000.0,169,145.0,LastWeekTonight,Gurbanguly Berdimuhamedov: Last Week Tonight with John Oliver (HBO),2019-08-12 06:30:00+00:00,-9QYu8LtH2E,PT20M41S,8838377.0,13701.0,215151.0,5245.0,Monday,Gurbanguly Berdimuhamedov,1241.0,0:20:41
2019-08-19,169,6,21,Sexism and racism in medicine,2019-08-18,920000.0,170,267.0,LastWeekTonight,Bias In Medicine: Last Week Tonight with John Oliver (HBO),2019-08-19 06:30:00+00:00,TATSAHJKRd8,PT22M38S,7446239.0,19031.0,133832.0,14967.0,Monday,Bias In Medicine,1358.0,0:22:38
2019-09-09,170,6,22,Filibuster in the United States Senate,2019-09-08,740000.0,171,113.0,LastWeekTonight,Filibuster: Last Week Tonight with John Oliver,2019-09-09 06:30:01+00:00,3y1QA6OeAcQ,PT19M7S,5600089.0,7840.0,104181.0,3458.0,Monday,Filibuster,1147.0,0:19:07
2019-09-16,171,6,23,Immigration to the United States,2019-09-15,650000.0,172,201.0,LastWeekTonight,Legal Immigration: Last Week Tonight with John Oliver (HBO),2019-09-16 06:30:01+00:00,tXqnRMU1fTs,PT19M42S,6809227.0,17132.0,143512.0,5919.0,Monday,Legal Immigration,1182.0,0:19:42
2019-09-30,172,6,24,Compounding pharmacies,2019-09-29,820000.0,173,208.0,LastWeekTonight,Compounding Pharmacies: Last Week Tonight with John Oliver (HBO),2019-09-30 06:30:00+00:00,Nuzi7LlSDVo,PT19M15S,5180398.0,7381.0,103419.0,2670.0,Monday,Compounding Pharmacies,1155.0,0:19:15
2019-10-07,173,6,25,History of the People's Republic of China and its one-child policy,2019-10-06,810000.0,174,143.0,LastWeekTonight,One Child Policy: Last Week Tonight with John Oliver (HBO),2019-10-07 06:30:00+00:00,SE_ccFHjL_w,PT23M5S,6587770.0,14008.0,119006.0,5545.0,Monday,One Child Policy,1385.0,0:23:05
2019-10-14,174,6,26,"Weather forecasting, Barry Lee Myers and the National Weather Service",2019-10-13,780000.0,175,95.0,LastWeekTonight,Weather: Last Week Tonight with John Oliver (HBO),2019-10-14 06:30:00+00:00,qMGn9T37eR8,PT16M27S,6051144.0,6198.0,114356.0,2688.0,Monday,Weather,987.0,0:16:27
2019-10-28,175,6,27,American abandonment of Kurds in Syria,2019-10-27,890000.0,176,176.0,LastWeekTonight,Trump &amp; Syria: Last Week Tonight with John Oliver (HBO),2019-10-28 06:30:00+00:00,2u_pZ-SgACk,PT19M43S,7163427.0,15965.0,137241.0,6304.0,Monday,Trump &amp; Syria,1183.0,0:19:43
2019-11-04,176,6,28,Election security in the United States,2019-11-03,720000.0,177,190.0,LastWeekTonight,Voting Machines: Last Week Tonight with John Oliver (HBO),2019-11-04 07:30:01+00:00,svEuG_ekNT0,PT19M22S,4919321.0,9320.0,88075.0,2589.0,Monday,Voting Machines,1162.0,0:19:22
2019-11-11,177,6,29,Bob Murray and strategic lawsuit against public participation,2019-11-10,730000.0,178,65.0,LastWeekTonight,SLAPP Suits: Last Week Tonight with John Oliver (HBO),2019-11-11 07:30:01+00:00,UN8bJb8biZU,PT26M25S,10404875.0,29035.0,335843.0,3744.0,Monday,SLAPP Suits,1585.0,0:26:25
2019-11-18,178,6,30,2020 United States Census,2019-11-17,880000.0,179,107.0,LastWeekTonight,The Census: Last Week Tonight with John Oliver (HBO),2019-11-18 07:30:00+00:00,1aheRpmurAo,PT17M38S,5519592.0,7600.0,98190.0,3216.0,Monday,The Census,1058.0,0:17:38
2020-02-17,179,7,1,Medicare for All,2020-02-16,820000.0,180,135.0,LastWeekTonight,Medicare for All: Last Week Tonight with John Oliver (HBO),2020-02-17 07:30:00+00:00,7Z2XRg3dy9k,PT19M54S,9120482.0,43459.0,220225.0,9916.0,Monday,Medicare for All,1194.0,0:19:54
2020-02-24,180,7,2,Narendra Modi and Citizenship Amendment Act protests,2020-02-23,750000.0,181,273.0,LastWeekTonight,Modi: Last Week Tonight with John Oliver (HBO),2020-02-24 07:30:01+00:00,qVIXUhZ2AWs,PT18M48S,10351457.0,74360.0,338928.0,62385.0,Monday,Modi,1128.0,0:18:48
2020-03-02,181,7,3,"COVID-19 pandemic and governmental response in the US (""Coronavirus"")",2020-03-01,930000.0,182,188.0,LastWeekTonight,Coronavirus: Last Week Tonight with John Oliver (HBO),2020-03-02 07:30:02+00:00,c09m5f7Gnic,PT20M10S,15038835.0,26318.0,301280.0,12027.0,Monday,Coronavirus,1210.0,0:20:10
2020-03-09,182,7,4,Sheriffs in the United States,2020-03-08,950000.0,183,115.0,LastWeekTonight,Sheriffs: Last Week Tonight with John Oliver (HBO),2020-03-09 06:30:01+00:00,v_kak7kAdNw,PT16M33S,7496952.0,9843.0,131881.0,6507.0,Monday,Sheriffs,993.0,0:16:33
2020-03-16,183,7,5,"COVID-19 pandemic, governmental response in the US, and the prevention of COVID–19 (""Coronavirus II"")",2020-03-15,890000.0,184,157.0,LastWeekTonight,Coronavirus II: Last Week Tonight with John Oliver (HBO),2020-03-16 06:30:02+00:00,_066dEkycr4,PT22M11S,11887039.0,38706.0,355289.0,9707.0,Monday,Coronavirus II,1331.0,0:22:11
2020-03-30,184,7,6,"COVID-19 pandemic related shortages and social distancing (""Coronavirus III"")",2020-03-29,970000.0,185,118.0,LastWeekTonight,Coronavirus III: Last Week Tonight with John Oliver (HBO),2020-03-30 06:30:02+00:00,ElIf2DBrWzU,PT19M29S,10077739.0,40588.0,297927.0,10084.0,Monday,Coronavirus III,1169.0,0:19:29
2020-04-06,185,7,7,One America News Network,2020-04-05,970000.0,186,133.0,LastWeekTonight,OAN: Last Week Tonight with John Oliver (HBO),2020-04-06 06:30:02+00:00,UnSILVWDKL8,PT18M6S,8802789.0,32047.0,241804.0,11286.0,Monday,OAN,1086.0,0:18:06
2020-04-13,186,7,8,"Essential workers and unemployment in the United States during the Coronavirus recession (""Coronavirus IV"")",2020-04-12,910000.0,187,169.0,LastWeekTonight,Coronavirus IV: Last Week Tonight with John Oliver (HBO),2020-04-13 06:45:02+00:00,6s4Bx7mzNkM,PT20M38S,8337817.0,29195.0,196619.0,6975.0,Monday,Coronavirus IV,1238.0,0:20:38
2020-04-20,187,7,9,"Misinformation related to the 2019–20 coronavirus pandemic (""Coronavirus V"")",2020-04-19,1040000.0,188,141.0,LastWeekTonight,Coronavirus V: Last Week Tonight with John Oliver (HBO),2020-04-20 06:30:04+00:00,dRFbwjwQ4VE,PT20M58S,8549871.0,31713.0,237790.0,6224.0,Monday,Coronavirus V,1258.0,0:20:58
2020-05-04,188,7,10,"COVID-19 testing (""Coronavirus VI"")",2020-05-03,950000.0,189,166.0,LastWeekTonight,Coronavirus VI: Testing: Last Week Tonight with John Oliver (HBO),2020-05-04 06:45:00+00:00,7rl4c-jr7g0,PT23M14S,7929161.0,22392.0,162301.0,5678.0,Monday,Coronavirus VI,1394.0,0:23:14
2020-05-11,189,7,11,United States Postal Service and Postal Accountability and Enhancement Act of 2006,2020-05-10,830000.0,190,58.0,LastWeekTonight,USPS: Last Week Tonight with John Oliver (HBO),2020-05-11 06:30:02+00:00,IoL8g0W9gAQ,PT18M15S,7034668.0,17467.0,189141.0,4551.0,Monday,USPS,1095.0,0:18:15
2020-05-18,190,7,12,"Impact of the COVID-19 pandemic on sports (""Coronavirus VII""), Jelle's Marble Runs & Marble League 2020",2020-05-17,900000.0,191,171.0,LastWeekTonight,Coronavirus VII: Sports: Last Week Tonight with John Oliver (HBO),2020-05-18 06:30:08+00:00,z4gBMw64aqk,PT21M46S,7007763.0,19312.0,168504.0,5877.0,Monday,Coronavirus VII,1306.0,0:21:46
2020-06-01,191,7,13,Postal voting in the United States,2020-05-31,830000.0,192,148.0,LastWeekTonight,Voting by Mail: Last Week Tonight with John Oliver (HBO),2020-06-01 06:45:00+00:00,l-nEHkgm_Gk,PT19M12S,6868466.0,19552.0,155066.0,6693.0,Monday,Voting by Mail,1152.0,0:19:12
2020-06-08,192,7,14,Police brutality in the United States and George Floyd protests,2020-06-07,800000.0,193,235.0,LastWeekTonight,Police: Last Week Tonight with John Oliver (HBO),2020-06-08 06:30:03+00:00,Wf4cea5oObY,PT33M33S,14022382.0,56581.0,515950.0,30716.0,Monday,Police,2013.0,0:33:33
2020-06-15,193,7,15,"Facial recognition system, Clearview AI, and Hoan Ton-That",2020-06-14,670000.0,194,132.0,LastWeekTonight,Facial Recognition: Last Week Tonight with John Oliver (HBO),2020-06-15 07:00:16+00:00,jZjmlJPJgug,PT21M11S,7329276.0,15108.0,172948.0,6067.0,Monday,Facial Recognition,1271.0,0:21:11
2020-06-22,194,7,16,"COVID-19 pandemic in prisons and jails (""Coronavirus VIII"")",2020-06-21,860000.0,195,147.0,LastWeekTonight,Coronavirus VIII: Prisons &amp; Jails: Last Week Tonight with John Oliver (HBO),2020-06-22 06:30:01+00:00,MuxnH0VAkAM,PT18M33S,4864650.0,13385.0,127450.0,5323.0,Monday,Coronavirus VIII,1113.0,0:18:33
2020-06-29,195,7,17,"Effect of the COVID-19 pandemic on evictions (""Coronavirus IX"")",2020-06-28,880000.0,196,120.0,LastWeekTonight,Coronavirus IX: Evictions: Last Week Tonight with John Oliver (HBO),2020-06-29 06:30:01+00:00,R652nwUcJRA,PT18M59S,6501795.0,23637.0,134005.0,5768.0,Monday,Coronavirus IX,1139.0,0:18:59
2020-07-20,196,7,18,"Conspiracy theories about COVID-19 (""Coronavirus X"")",2020-07-19,860000.0,197,97.0,LastWeekTonight,Coronavirus: Conspiracy Theories: Last Week Tonight with John Oliver (HBO),2020-07-20 06:30:00+00:00,0b_eHBZLM6U,PT22M19S,6079936.0,27550.0,193621.0,7046.0,Monday,Coronavirus,1339.0,0:22:19
2020-07-27,197,7,19,Xinjiang re-education camps,2020-07-26,,198,93.0,LastWeekTonight,China &amp; Uighurs: Last Week Tonight with John Oliver (HBO),2020-07-27 06:30:00+00:00,17oCQakzIl8,PT20M52S,5879645.0,33863.0,206957.0,8224.0,Monday,China &amp; Uighurs,1252.0,0:20:52
